,SD01,SD02_01,SD03_01,SD04,SD05_01,SD06,SD07,HI01,HI02,HI03,HI04,HI05,HI06,VR01,VR02,VR03,VR03_01,VR03_02,VR03_03,VR03_04,VR03_05,VR04_01,VR04_02,VR04_03,VR04_04,VR04_05,VR04_06,VR05_01,VR05_02,VR05_03,VR06,HM01,HM02_01,HM03,HM04_01,HM05,HM06,HM07_01,HM07_02,HM07_03,HM07_04,HM07_05,HM07_06,RG01,RG02,IS01_01,IS01_02,IS01_03,IS01_04,IS01_05,IS01_06,IS01_07,IS01_08,IS01_09,IS01_10,IS02_01,IS03_01,IO01,IO02,IO03,IO04,IO05,IO06,RW01_01,RW02_01,RW03_01,RW03_02,RW03_03,RW04_01,RW04_02,RW04_03,RW05_01,RW05_02,RW05_03,H101,H102_01,H102_02,H102_03,H102_04,H102_05,H102_06,H102_07,H103,H104_01,H104_02,H104_03,H105_01,H106_01,H201_01,H201_02,H202_01,H202_02,H202_03,CL01_01,CL01_02,CL01_03,CL01_04,CL01_05,CL01_06,CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA01_06,CS01_01,CS01_02,CS01_03,CS01_04,CS01_05,CS01_06,US01_01,US01_02,US01_03,US01_04,unsicherheit_score,coping_score,risikowahrnehmung_score,handlungsbereitschaft_score,informationsverstaendnissubjektiv_score,quiz_score,M101_01,M101_02,M101_03,M101_04,M101_05,M101_06,M101_07,M101_08,M101_09,M101_10,M101_11,M101_12,M101_13,M101_14,M101_15,M101_16,M201_01,M201_02,M201_03,M201_04,M201_05,M201_06,M201_07,M201_08,M201_09,M201_10,M201_11,M201_12,M201_13,M201_14,M201_15,M201_16,M401_01,M401_02,M401_03,M401_04,M401_05,M401_06,M401_07,M401_08,M401_09,M401_10,M401_11,M401_12,M401_13,M401_14,M401_15,M401_16,M301_01,M301_02,M301_03,M301_04,M301_05,M301_06,M301_07,M301_08,M301_09,M301_10,M301_11,M301_12,M301_13,M301_14,M301_15,M301_16,Zielgruppe
145,Weiblich,1960,09122,Ausbildung,1,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,mittelmäßig,sehr detailiert geschrieben,viel Text,Option A,Option B,Option A,Option B,Option A,Option B,eher nein,hoch,eher hoch,eher hoch,eher hoch,4,4,2,eher gering,eher hoch,eher gering,Nein,nein,nein,nein,ja,eher nein,eher ja,eher ja,Ja,,,,,,ja,ja,ja,ja,eher ja,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,0.75,1.3333333333333333,3.0,3.8,3.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
146,Männlich,1949,09366,Hochschulabschluß,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ja,ja,ja,ja,ja,ja,hoch,hoch,eher gering,Ja,Nein,,Nein,,Nein,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,nein,ja,ja,ja,ja,Alles,Alles,Option B,Option B,Option B,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,-1,-1,-1,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Weil ich nicht möchte,,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,0.0,0.0,0.0,4.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
147,Männlich,1981,85253,Hochschulabschluß,3,Ja,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,2,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher nein,ja,eher ja,eher ja,nein,eher hoch,eher hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,ja,eher ja,eher ja,eher ja,eher ja,nein,ja,eher ja,eher ja,eher ja,alles,nix,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher hoch,eher hoch,eher gering,eher gering,3,3,3,eher hoch,eher hoch,eher hoch,Nein,eher ja,eher ja,eher nein,eher ja,eher ja,eher ja,eher ja,Nein,eher ja,eher nein,eher nein,,,eher ja,eher nein,eher nein,eher nein,eher ja,stimme eher nicht zu,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme zu,3.5,2.5555555555555554,2.3333333333333335,2.4,3.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
148,Männlich,1963,01159,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,eher nein,eher nein,eher ja,gering,gering,gering,Ja,Nein,,Nein,,Nein,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,eher nein,eher ja,eher ja,eher ja,eher ja,,,Option B,Option B,Option A,Option B,Option B,Option A,eher ja,eher gering,gering,gering,gering,3,3,3,eher hoch,eher hoch,eher gering,Nein,eher ja,ja,Keine Angabe,eher ja,eher nein,Keine Angabe,ja,Keine Angabe,,,,,,ja,eher ja,ja,eher ja,Keine Angabe,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,Keine Angabe,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,stimme zu,stimme eher nicht zu,stimme zu,Keine Angabe,Keine Angabe,stimme eher nicht zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,1.3888888888888888,1.0,2.8,4.3,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
149,Weiblich,1971,85521,Ausbildung,3,Ja,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,nein,eher ja,nein,nein,nein,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,eher ja,ja,ja,ja,ja,"übersichtlich gestaltet, man findet alle notwendigen informationen",nichts,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,eher gering,3,3,2,eher hoch,eher gering,eher gering,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,ja,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,2.0,2.888888888888889,2.0,4.0,4.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
150,Männlich,1952,95447,Hochschulabschluß,-2,Nein,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,eher ja,nein,eher hoch,eher hoch,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,eher ja,eher ja,eher ja,mittelmäßig,eher ja,eher ja,eher ja,eher ja,eher ja,eher nein,,,Option B,Option B,Option A,Option A,Option B,Option A,ja,eher gering,eher gering,eher gering,eher gering,3,3,3,eher hoch,eher hoch,eher gering,Nein,eher nein,nein,eher nein,ja,eher ja,eher nein,nein,Ja,,,,,,ja,ja,ja,ja,ja,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,3.2222222222222223,2.0,4.0,3.7,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
151,Männlich,1940,94474,Hochschulabschluß,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,Keine Angabe,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ja,ja,ja,nein,eher ja,nein,eher hoch,eher hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,nein,ja,ja,ja,ja,ysrgayrbg<rg,v<bv<svAFvv,Option B,Option B,Option A,Option B,Option B,Option B,eher nein,eher gering,eher gering,eher gering,eher gering,3,3,3,eher hoch,eher gering,eher gering,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ja,,,,,,ja,nein,ja,Keine Angabe,ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,0.0,2.0,2.6,4.6,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
152,Männlich,1945,09387,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,eher ja,ja,eher ja,ja,ja,ja,ja,nichts,auch nichts,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,gering,3,4,3,eher hoch,eher hoch,eher gering,Nein,eher nein,nein,Keine Angabe,eher nein,eher nein,Keine Angabe,eher ja,Ja,,,,,,ja,eher nein,ja,eher ja,eher ja,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,Keine Angabe,2.0,2.2777777777777777,1.6666666666666667,3.2,4.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
153,Männlich,1975,84424,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,eher ja,ja,ja,eher ja,ja,ja,ja,eher ja,"Übersichtlicher Aufbau, klare kurze Stichpunkte, grafische Darstellung",,Option B,Option B,Option A,Option A,Option B,Option B,ja,eher hoch,eher hoch,eher gering,gering,4,4,2,eher hoch,eher gering,gering,Nein,eher ja,nein,nein,eher ja,eher nein,nein,eher nein,Ja,,,,,,ja,eher ja,ja,ja,eher ja,stimme eher zu,stimme zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,2.75,3.0,2.0,3.6,4.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
154,Weiblich,1969,09212,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,ja,ja,eher ja,ja,ja,mittelmäßig,eher ja,ja,eher ja,eher ja,War gut verständlich,,Option B,Option B,Option A,Option A,Option B,ich weiss es nicht,eher ja,eher hoch,Keine Angabe,hoch,Keine Angabe,4,4,4,eher hoch,eher hoch,eher hoch,Keine Angabe,,,,,,,,Keine Angabe,,,,,,ja,eher ja,ja,eher ja,eher ja,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme zu,stimme zu,stimme eher nicht zu,stimme zu,3.5,2.9444444444444446,1.3333333333333333,3.4,4.4,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
155,Männlich,1951,95463,Ausbildung,6,Ja,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,nein,nein,ja,nein,nein,nein,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,eher ja,ja,ja,ja,ja,Erklärung wie Radon ensteht,Nichts,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,gering,3,4,3,eher gering,eher gering,eher gering,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,ja,stimme eher nicht zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,1.75,3.388888888888889,1.6666666666666667,4.0,4.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
156,Weiblich,1958,93444,Ausbildung,2,Nein,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,eher ja,eher ja,eher ja,eher ja,eher ja,ja,eher ja,eher ja,eher ja,eher ja,die gesamten infos,nichts,Option B,Option B,Option A,Option A,Option B,Option A,nein,gering,gering,gering,gering,3,4,3,eher gering,gering,gering,Nein,eher nein,eher nein,eher nein,ja,ja,Keine Angabe,ja,Nein,ja,ja,ja,,,ja,Keine Angabe,ja,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme eher nicht zu,2.0,2.2777777777777777,1.0,1.6,4.1,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
157,Männlich,1971,92721,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ja,eher ja,ja,eher nein,eher ja,eher nein,eher hoch,hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,eher ja,ja,eher nein,eher ja,eher ja,ja,eher ja,leit verständlich,wie sieht eine große Sanierung aus,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher hoch,eher hoch,eher hoch,eher gering,4,4,2,eher hoch,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,eher ja,stimme eher nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme zu,Keine Angabe,stimme zu,stimme nicht zu,stimme eher nicht zu,stimme zu,stimme zu,stimme zu,3.5,2.7222222222222223,2.6666666666666665,3.8,4.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
158,Weiblich,1969,82178,Hochschulabschluß,4,Ja,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,6 bis 10 Jahre,0 bis 5 Jahres,1. Etage,Nein,,,,,,,,,,,,,,,,,Keine Angabe,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,Informationen zu einem Thema das ich nicht wusste,verwirrend,Option B,Option B,Option A,Option A,Option B,ich weiss es nicht,Keine Angabe,Keine Angabe,eher gering,eher gering,eher gering,2,2,2,eher gering,eher gering,eher gering,Nein,Keine Angabe,Keine Angabe,Keine Angabe,ja,ja,Keine Angabe,Keine Angabe,Ja,,,,,,ja,Keine Angabe,ja,ja,ja,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,Keine Angabe,stimme eher nicht zu,Keine Angabe,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,3.0,2.111111111111111,2.0,3.2,3.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
